Duration,Date,Pulse,Maxpulse,Calories,EName,Date1
60,'2020/12/01',110,	130,	409.1,1,21/11/2020
60,'2020/12/02',117,	145,	479,3,21/11/2020
60,'2020/12/03',103,	135,	340,2,21/11/2020
45,'2020/12/04',109,	175,	282.4,3,21/11/2020
45,'2020/12/05',117,	148,	406,1,21/11/2020
60,'2020/12/06',102,	127,	300,3,21/11/2020
60,'2020/12/07',110,	136,	374,2,21/11/2020
450,'2020/12/08',104,	134,	253.3,3,21/11/2020
30,'2020/12/09',109,	133,	195.1,2,21/11/2020
60,'2020/12/10',98,	124,	269,1,21/11/2020
60,'2020/12/11',103,	147,	329.3,3,21/11/2020
60,'2020/12/12',100,	120,	250.7,1,21/11/2020
60,'2020/12/12',100,	120,	250.7,1,21/11/2020
60,'2020/12/13',106,	128,	345.3,1
60,'2020/12/14',104,	132,	379.3,3,21/11/2020
60,'2020/12/15',98,	123,	275,4,21/11/2020
60,'2020/12/16',98,	120,	215.2,3,21/11/2020
60,'2020/12/17',100,	120,	300,3,21/11/2020
45,'2020/12/18',90,	112,,2,21/11/2020
60,'2020/12/19',103,	123,	323,2
45,'2020/12/20',     97,	125,	243,1,21/11/2020
60,'2020/12/21',    108,	131,	364.2,2
45,,                100,	119,	282,3,21/11/2020
60,'2020/12/23',	130,	101,	300,2,21/11/2020
45,'2020/12/24',	105,	132,	246,1,21/11/2020
60,'2020/12/25',	102,	126,	334.5,2,21/11/2020
60,20201226,       100,	120,	250,3,21/11/2020
60,'2020/12/27',	92,	118,	241,2,21112020
60,'2020/12/28',	103,	132,,1,21/11/2020
60,'2020/12/29',	100,	132,	280,1,21112020
60,'2020/12/30',	102,	129,	380.3,3,21/11/2020
60,'2020/12/31',	92,	115,	243,0,21/11/2020


